head,tail,relation,source,doc
糖尿病,贫血,疾病-共病,cooccurrence,11_【参考】慢性阻塞性肺病（COPD）治疗药物临床研究指导原则-EMA_cleaned.txt
糖尿病,阻塞性睡眠呼吸暂停,疾病-共病,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
细支气管炎,鼻窦炎,疾病-共病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
肺动脉高压,支气管扩张,疾病-共病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
肺栓塞,慢性阻塞性肺疾病,疾病-共病,cooccurrence,20_【中医证候】慢性阻塞性肺疾病中医证候诊断标准（2011版）_cleaned.txt
肺炎,肺结核,疾病-共病,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
肺癌,心力衰竭,疾病-共病,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
肺癌,心血管疾病,疾病-共病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
肺癌,糖尿病,疾病-共病,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
肺癌,胃食管反流,疾病-共病,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
肺癌,贫血,疾病-共病,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
肺癌,阻塞性睡眠呼吸暂停,疾病-共病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
肺癌,骨质疏松症,疾病-共病,cooccurrence,42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁_cleaned.txt
