排名	词语	频次	PMI	左熵	右熵	综合得分
466	EOS300μl	3	11.6838	1.585	1.585	14.8538
467	格隆溴铵	8	11.2888	1.0613	2.5	14.8501
468	手段	7	9.8067	2.5216	2.5216	14.85
469	鉴别诊断	10	9.5583	2.161	3.1219	14.8412
470	规律	13	8.9227	2.5074	3.3927	14.8228
471	inthe	24	6.3175	4.4183	4.085	14.8208
472	配备	5	11.1253	1.371	2.3219	14.8182
473	作用	62	5.8541	4.3717	4.5883	14.8142
474	CochraneDatabase	13	12.1592	1.5059	1.1451	14.8102
475	足够	8	10.1513	2.25	2.4056	14.807
476	遵循	8	12.1957	1.0613	1.5488	14.8058
477	痰液	10	8.3567	3.3219	3.1219	14.8005
478	低氧血症	15	7.6932	3.4566	3.6402	14.79
479	小气道	12	7.9464	3.4183	3.4183	14.783
480	其它	13	8.2062	3.1808	3.3927	14.7798
481	利益冲突	4	11.2782	1.5	2.0	14.7782
482	年龄	20	8.2335	3.6219	2.9219	14.7774
483	已经	8	8.7769	3.0	3.0	14.7769
484	明确	21	7.4324	3.8802	3.4633	14.7758
485	目标	24	7.6722	3.2662	3.835	14.7733
486	隆寰宇	4	12.4588	0.8113	1.5	14.77
487	流行病学	11	8.4648	3.2776	3.0272	14.7696
488	适当	17	8.383	3.5725	2.8138	14.7693
489	定义	20	7.5909	3.3842	3.7842	14.7592
490	慢阻肺病	166	4.8894	5.5244	4.3423	14.7561
491	RespirCritCareMed	33	9.3041	0.9654	4.4761	14.7456
492	尚未	9	9.3757	2.9477	2.4194	14.7428
493	公认	7	11.0697	2.5216	1.1488	14.7402
