排名	词语	频次	PMI	左熵	右熵	得分	分类原因
206	室内	14	8.1702	2.9502	2.3527	13.4732	中等质量待审核
207	平均	7	7.8215	2.8074	2.8074	13.4362	中等质量待审核
208	缩短	8	9.2624	2.4056	1.75	13.418	中等质量待审核
209	嗜睡	4	9.4115	2.0	2.0	13.4115	中等质量待审核
210	外周血嗜酸	8	10.1177	2.75	0.5436	13.4113	中等质量待审核
211	优先	4	9.3884	2.0	2.0	13.3884	中等质量待审核
212	PAPA	4	10.3657	1.5	1.5	13.3657	英文缩写待确认
213	张冬莹	7	9.1758	1.6645	2.5216	13.362	中等质量待审核
214	注意事项	6	10.4588	0.65	2.2516	13.3604	中等质量待审核
215	菌感染	13	7.6131	2.192	3.5466	13.3517	含医学特征词但质量一般
216	头痛	4	9.3433	2.0	2.0	13.3433	含医学特征词但质量一般
217	深入探	3	10.1693	1.585	1.585	13.3392	中等质量待审核
218	陈典	4	10.5139	2.0	0.8113	13.3252	中等质量待审核
219	门诊	9	7.9209	2.7255	2.6416	13.288	中等质量待审核
220	监督	4	10.7807	1.5	1.0	13.2807	中等质量待审核
221	FEVFVC	13	8.8566	3.2389	1.1451	13.2407	中等质量待审核
222	延缓	5	9.7807	1.9219	1.5219	13.2245	中等质量待审核
223	升高	14	7.0373	2.9502	3.2359	13.2234	中等质量待审核
224	杆菌	7	9.8899	1.6645	1.6645	13.2189	中等质量待审核
225	服务	5	9.3657	1.9219	1.9219	13.2095	中等质量待审核
226	酯酶	4	10.8738	0.8113	1.5	13.1851	含医学特征词但质量一般
227	血嗜酸粒细胞	19	8.5418	3.1814	1.4425	13.1657	含医学特征词但质量一般
228	细菌	14	7.0826	3.5216	2.5567	13.1609	中等质量待审核
229	舒张剂	77	8.3401	0.5962	4.2193	13.1557	含医学特征词但质量一般
230	炎球菌疫苗	7	9.1929	1.1488	2.8074	13.1491	含医学特征词但质量一般
231	胆碱	21	10.6494	1.2495	1.2467	13.1456	含医学特征词但质量一般
232	睡眠障碍	3	9.9733	1.585	1.585	13.1433	中等质量待审核
233	防御	3	9.9563	1.585	1.585	13.1262	中等质量待审核
234	升级	13	8.1896	2.5654	2.3535	13.1086	中等质量待审核
235	糖尿	6	10.2024	2.2516	0.65	13.1041	含医学特征词但质量一般
236	广州医科	8	9.7807	2.75	0.5436	13.0743	中等质量待审核
237	阿奇霉素	5	8.8188	1.9219	2.3219	13.0626	含医学特征词但质量一般
238	LABALAMAICS	7	7.7136	2.8074	2.5216	13.0426	中等质量待审核
239	专业	5	9.7363	1.9219	1.371	13.0292	中等质量待审核
240	栓塞	16	8.1596	1.6494	3.2028	13.0118	中等质量待审核
241	沙美	5	10.3657	1.9219	0.7219	13.0095	中等质量待审核
242	张剂	93	7.8821	0.7204	4.4057	13.0082	含医学特征词但质量一般
243	磷酸二	4	10.6932	1.5	0.8113	13.0045	中等质量待审核
244	切除	3	9.7807	1.585	1.585	12.9506	含医学特征词但质量一般
245	嗽咳痰	7	10.0962	0.5917	2.2359	12.9238	含医学特征词但质量一般
246	细胞释放	3	9.7509	1.585	1.585	12.9209	含医学特征词但质量一般
247	巨噬细胞	3	10.3884	1.585	0.9183	12.8916	含医学特征词但质量一般
248	血管	65	6.2781	2.581	4.0246	12.8838	含医学特征词但质量一般
249	激素	39	7.6612	0.9145	4.3043	12.88	含医学特征词但质量一般
250	急救药物	6	8.0392	2.585	2.2516	12.8758	含医学特征词但质量一般
251	粒细胞	26	9.8615	0.7442	2.2389	12.8446	含医学特征词但质量一般
252	支气管舒张	73	8.7226	3.3773	0.6976	12.7975	含医学特征词但质量一般
253	抗胰蛋	8	9.4708	2.5	0.8113	12.7821	含医学特征词但质量一般
254	心肌梗死	5	8.4648	2.3219	1.9219	12.7086	含医学特征词但质量一般
255	二氧化硫	4	10.6932	1.0	1.0	12.6932	含医学特征词但质量一般
256	疾病负担	10	7.3207	2.4464	2.9219	12.6891	含医学特征词但质量一般
257	抗胰蛋白酶	6	9.4708	2.2516	0.9183	12.6408	含医学特征词但质量一般
258	支气管扩张剂	14	7.5328	2.118	2.9502	12.6009	含医学特征词但质量一般
259	抗胆碱	16	9.0785	2.7744	0.6962	12.5491	含医学特征词但质量一般
260	红细胞	5	8.635	2.3219	1.5219	12.4789	含医学特征词但质量一般
261	嗜酸粒细胞	21	10.3213	0.549	1.6017	12.4719	含医学特征词但质量一般
262	药品	7	7.7791	2.5216	2.1281	12.4288	含医学特征词但质量一般
263	溴铵DPI	5	9.5328	1.5219	1.371	12.4256	英文缩写待确认
264	心肌梗	7	8.4648	2.8074	1.1488	12.421	含医学特征词但质量一般
265	杆菌感染	4	9.581	0.8113	2.0	12.3923	含医学特征词但质量一般
266	纤维化	4	8.3131	2.0	2.0	12.3131	含医学特征词但质量一般
267	臭氧	4	9.2996	1.5	1.5	12.2996	含医学特征词但质量一般
268	支气管哮喘	7	7.4848	2.2359	2.5216	12.2423	含医学特征词但质量一般
269	细菌感染	5	8.3724	1.9219	1.9219	12.2163	含医学特征词但质量一般
270	氧化碳	8	8.9776	0.9544	2.1556	12.0877	含医学特征词但质量一般
271	心血管风险	8	7.5786	1.75	2.75	12.0786	含医学特征词但质量一般
272	XCT	3	8.8953	1.585	1.585	12.0653	英文缩写待确认
273	心血管疾病	9	6.1687	3.1699	2.7255	12.0641	含医学特征词但质量一般
274	心律	23	7.7029	3.8279	0.5132	12.044	含医学特征词但质量一般
