排名	词语	频次	PMI	左熵	右熵	综合得分
419	简称	20	10.7958	1.8219	1.8332	14.4509
420	西林	4	11.4468	1.5	1.5	14.4468
421	描述	4	10.4468	2.0	2.0	14.4468
422	原则	48	8.8343	1.5668	4.0433	14.4444
423	不良	50	7.869	4.1504	2.4032	14.4226
424	骨骼肌	5	10.7218	2.3219	1.371	14.4147
425	柴草	4	11.9062	1.0	1.5	14.4062
426	手口协调不佳	4	10.9062	1.5	2.0	14.4062
427	疫苗接种	10	9.3884	2.371	2.6464	14.4058
428	容积	10	8.8296	2.6464	2.9219	14.398
429	inpatients	42	7.4816	4.9098	1.9904	14.3818
430	氟替卡松	6	11.6652	0.9183	1.7925	14.376
431	验证	16	7.8899	3.4528	3.0306	14.3734
432	队列	5	11.0803	1.9219	1.371	14.3731
433	表现	31	7.6504	3.8331	2.8878	14.3713
434	借助	3	11.1957	1.585	1.585	14.3657
435	上述	10	8.3213	3.1219	2.9219	14.3651
436	studyJ	32	6.6379	4.125	3.6009	14.3639
437	球菌疫苗	10	10.5583	1.1568	2.6464	14.3615
438	民卫生出版社	6	11.4588	0.65	2.2516	14.3604
439	短效	26	7.9132	3.3826	3.0545	14.3503
440	深圳市	4	11.8421	1.0	1.5	14.3421
441	JThorax	17	6.7958	3.8522	3.6901	14.3381
442	全球	21	8.1414	3.1914	3.0009	14.3337
443	林克拉	3	12.4912	0.9183	0.9183	14.3278
444	程度	79	7.0704	2.4594	4.7956	14.3254
445	Generalpractitioners	3	11.8213	0.9183	1.585	14.3246
446	机构	31	9.0572	1.2891	3.9747	14.321
447	仪器	8	10.8343	1.0613	2.4056	14.3012
448	危及生命	6	9.9227	2.585	1.7925	14.3002
449	专家	17	9.1993	2.6601	2.4404	14.2998
450	粉尘	6	11.7907	0.9183	1.585	14.294
451	治疗方案	32	6.3939	3.5747	4.3247	14.2933
452	针对	17	7.7622	3.8522	2.6757	14.2901
453	产生	18	7.9012	3.3083	3.0782	14.2877
454	认识	9	9.2193	2.4194	2.6416	14.2803
455	疑似	4	10.2782	2.0	2.0	14.2782
456	培养	5	10.4302	1.9219	1.9219	14.2741
457	知识	7	9.3307	2.1281	2.8074	14.2661
458	损害	8	9.9669	1.5488	2.75	14.2657
459	常见	42	7.5179	4.0197	2.7231	14.2607
460	二氧化碳	5	10.0152	2.3219	1.9219	14.259
461	一个	24	6.0325	3.8035	4.4183	14.2543
462	肿瘤	4	10.7509	2.0	1.5	14.2509
463	基础上	14	8.3119	2.2608	3.6645	14.2372
464	doubleblindparallel	4	11.9062	1.5	0.8113	14.2175
465	纠正	3	11.0437	1.585	1.585	14.2137
466	白酶	12	10.4192	1.2075	2.585	14.2117
467	罗氟	18	10.1627	3.2391	0.8031	14.2049
468	越来越	3	12.3657	0.9183	0.9183	14.2022
469	疾病进展	19	6.9401	3.5369	3.7216	14.1986
470	分级	26	6.5285	3.8693	3.7962	14.194
471	超声心动图	4	10.6932	1.5	2.0	14.1932
472	奥达特罗	4	10.6932	2.0	1.5	14.1932
473	中华	93	7.4362	5.0153	1.7367	14.1882
474	莫西	5	11.1407	1.5219	1.5219	14.1845
475	jissn	26	9.1957	2.5412	2.4416	14.1786
476	中国	64	6.2846	4.4059	3.4821	14.1725
477	卫生	28	8.0439	2.8103	3.3118	14.1661
478	附属	23	11.1013	1.1492	1.9124	14.1629
479	近亿	4	11.8421	0.8113	1.5	14.1534
480	失衡	9	9.5328	1.4466	3.1699	14.1493
481	联合	31	7.116	3.8984	3.1307	14.1451
482	全科医生	15	7.0976	3.5899	3.4566	14.1441
483	慢阻肺患者	69	4.2474	4.7615	5.1352	14.144
484	每年	12	7.8069	3.085	3.2516	14.1435
485	手口协调	9	9.6652	2.7255	1.7527	14.1434
486	randomizedcontrolled	6	9.9733	1.9183	2.2516	14.1433
487	提出了	7	9.0962	2.5216	2.5216	14.1395
488	高血压	8	8.3819	3.0	2.75	14.1319
489	chronicobstructivepulmonary	78	8.5357	4.0595	1.5269	14.1222
490	收缩	5	9.8738	1.9219	2.3219	14.1177
491	实施	10	8.2729	2.9219	2.9219	14.1168
492	休息	3	11.6108	1.585	0.9183	14.114
493	肺气肿	29	5.8972	4.1683	4.0473	14.1128
494	安慰剂	11	8.5328	3.2776	2.2999	14.1103
495	lungvolumereduction	5	10.6652	1.9219	1.5219	14.1091
496	抗菌	36	8.165	4.2255	1.7087	14.0992
497	克拉	4	11.7807	0.8113	1.5	14.092
498	经济	8	9.7769	2.5	1.8113	14.0882
499	深圳	5	11.8421	1.5219	0.7219	14.086
500	LABAICS	17	7.2932	3.1019	3.6901	14.0852
